Название,Тип заведения,Средний чек,Адресс
Auz.T,сеть кафе быстрого питания,Средний чек 1200 тнг,"Сатпаева, 90/23 киоск"
Хан-Кебаб,кафе,Средний чек 2500 тнг,"Толе би, 226"
Наша Пицца,пиццерия,Средний чек 3000 тнг,"проспект Сейфуллина, 470"
Chaihana NAVAT,ресторан,Доставка,"проспект Сейфуллина, 500"
Фрикаделька,столовая,Средний чек 700 тнг,"БЦ Sibel, Тлеуберды Сауранбаева, 7/1"
Rabad,столовая,Средний чек 4500 тнг,"Арайлы, 20"
ТАГАМ,сеть столовых,Доставка,"БЦ Жар-Су, Кунаева, 38"
Coffeeon SaiGon,ресто-бар,Средний чек 3000 тнг,"Кабанбай батыра, 122"
#ПЛОВ_ВКОРОБОЧКЕ by Meyram Group,Быстрое питание,Средний чек 2000 тнг,"ТРЦ Mega Center Alma-Ata, Розыбакиева, 247а"
Golden Palace,гостиница,Средний чек 5000 тнг,"Байтурсынова, 54"
Nebo bar gallery & terrace,ресто-бар,,"БЦ Green Tower, проспект Достык, 192/2"
Sansara,лаундж-бар,,"Наурызбай батыра, 85"
7 days,гостиничный комплекс,Средний чек 1000 тнг,"микрорайон Аксай 4, 67/1"
MASAGO SUSHI,суши-бар,,"Саги Ашимова, 94"
Avenue,ресто-бар,Средний чек 5000 тнг,"Мынбаева, 53"
Nino,ресторан,Бизнес-ланч · Доставка,"МФК VILLA, проспект Аль-Фараби, 140а"
Gambrinus,бар,Средний чек 3500 тнг,"Карасай батыра, 193"
Badeel,ресторан,Средний чек 3000 тнг,"микрорайон Самал-2, 27а"
Gippo,сеть павильонов и кафе быстрого питания,Средний чек 700 тнг,"проспект Сейфуллина, 541 киоск"
NOMAD & Aq-otay,гостинично-ресторанный комплекс,Средний чек 2500 тнг,"Бурундайская, 15"
ZIRA,столовая,Средний чек 1000 тнг,"Емцова, 3"
Рыба моей мечты,сеть караоке-залов,,"Навои, 97"
"МегаТехТранс, комплекс",Кофейня,,"Байкадамова, 17"
Pirate,гостинично-развлекательный комплекс,Средний чек 3500 тнг,"Толе би, 209а"
Апрель,ресторан,Бизнес-ланч,"проспект Гагарина, 111Б"
Qaganat,сеть столовых,Бизнес-ланч · Доставка,"проспект Абая, 125а"
KDF,кондитерский дом,Доставка,"Макатаева, 68"
URBO coffee,сеть экспресс-кофеен,Средний чек 900 тнг,"БЦ Almaty Towers, Байзакова, 280"
Jam coffee bar,кофейня,Средний чек 1500 тнг,"Кунаева, 25"
Doner.KZ,сеть кафе быстрого питания,Средний чек 1000 тнг,"Жарокова, 1"
Бадьян,лаундж-бар,Средний чек 4500 тнг,"проспект Абылай хана, 46"
Basilic,территория вкусной еды,Средний чек 2000 тнг,"Шевченко, 127"
FICUS beauty & coffee bar,студия красоты-кофейня,Средний чек 1600 тнг,"микрорайон Самал-2, 77"
Coffee snack,кофейня,Средний чек 1000 тнг,"Наурызбай батыра, 66"
"MAGURO sushi & pizza, суши-бар",Пункт выдачи товара,Средний чек 2000 тнг,"Утепова, 8/2"
Pizza Mizza,пиццерия,Средний чек 2000 тнг,"Айнабулак 3-й микрорайон, 98Б"
Ribs Bar,Бары,Средний чек 5000 тнг,"Кошкунова, 4а"
Белый Журавль,караоке-кафе,Средний чек 3500 тнг,"Сулейменова, 2а"
Gardizi,кафе,Средний чек 3000 тнг,"микрорайон Кокжиек, 53/2"
Montan`a,лаундж-бар,Средний чек 6000 тнг,"ТЦ Атриум, Наурызбай батыра, 7Б"
GASTREAT,гастро-бар,Средний чек 4000 тнг,"ЖК GAGARIN PARK, проспект Гагарина, 287 блок Б"
Мята Platinum,ресто-бар,,"Тимирязева, 38/1"
Ак-Алтын,ресторанно-гостиничный комплекс,Средний чек 4500 тнг,"6-й микрорайон, 48а"
689 Capsule Hotel & Coffee,кофейня,Средний чек 800 тнг,"Кунаева, 43"
1GOG,ресто-бар,Средний чек 3500 тнг,"БЦ Almaty Towers, Байзакова, 280"
Mama pizza,пиццерия,Средний чек 2000 тнг,"проспект Абылай хана, 66"
Летний дворик,кафе,Средний чек 3500 тнг,"Розыбакиева, 31/1а"
Roma Caffe,ресторанный комплекс,Средний чек 6000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Star Coffee,кофейня,,"ЖК Опера, микрорайон Аксай 4, 119"
Erbil Grand Hotel,ресторанно-гостиничный комплекс,Средний чек 5000 тнг,"Тлеуберды Сауранбаева, 5"
Mangal house,кафе,Средний чек 2500 тнг,"8 Гвардейской Дивизии, 66"
Восточный Квартал,кафе,Средний чек 3500 тнг,"Толе би, 174"
ШашлыкоFF Grill & Bar,гриль-бар,Средний чек 3500 тнг,"Толе би, 89"
Чебуречище,Быстрое питание,Средний чек 1000 тнг,"проспект Абая, 76"
БАНЗАЙ,ресторан,Доставка,"шоссе Северное Кольцо, 57а"
Neon eSports Bar & Gaming,ресто-бар,Средний чек 4800 тнг,"ЖК Exclusive Life, Наурызбай батыра, 111"
LAGRAM,кафе,Средний чек 1500 тнг,"Майлина, 11Б"
Uragan sushi,ресторан,,"2-й микрорайон, 40Б"
J.Z. Peking Duck,ресторан китайской кухни,Средний чек 7000 тнг,"Зеина Шашкина, 1"
Кафе Плюс,кафе,Средний чек 750 тнг,"Желтоксан, 144"
Bounty,банный комплекс,,"микрорайон Жетысу-2, 83/1"
У Афанасича,ресторан,Средний чек 8000 тнг,"проспект Достык, 123/8"
Тарым,сеть кафе,Средний чек 2500 тнг,"Тургут Озала, 107"
TAL Cafe & Restaurant,ресторан,Средний чек 5000 тнг,"Жукова, 136"
Жайлау,этно-кафе,Средний чек 2500 тнг,"Орманова, 133"
Узбечка,кафе-столовая,Средний чек 600 тнг,"Искендерова, 8/1"
SHAFRAN,сеть столовых,,"10-й микрорайон, 1а"
Paradise,сеть кафе,Средний чек 2000 тнг,"Рыскулбекова, 18а"
Ocean Basket,сеть ресторанов морепродуктов,Средний чек 7500 тнг,"Панфилова, 100"
DELPAPA,сеть итальянских ресторанов домашней кухни,Средний чек 4500 тнг,"Кабанбай батыра, 83"
AROMA,чайный салон,Средний чек 4000 тнг,"проспект Абылай хана, 113"
ТЮБЕТЕЙКА,чайхана,Средний чек 5000 тнг,"Сатпаева, 32/1"
Nedelka,сеть кафе,Средний чек 3000 тнг,"проспект Абая, 19"
SHAFRAN,сеть столовых,Средний чек 3500 тнг,"микрорайон Коктобе-1, 36"
MADO,ресторан,Средний чек 3500 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Малина Mix,кафе,Средний чек 5000 тнг,"Габдуллина, 72"
CAFETERIA,городское кафе,Средний чек 3200 тнг,"Байсеитовой, 32"
MAQAN Hotel Almaty,бутик-отель,Средний чек 8000 тнг,"Радлова, 17"
Social coffee,кофейня,Средний чек 4000 тнг,"Сатпаева, 10"
Алаша,ресторан,Средний чек 7000 тнг,"Оспанова, 20"
ПЯТНИЦА,кафе-бар-караоке,Средний чек 7000 тнг,"проспект Гагарина, 92"
Tmin,кафе,Средний чек 1500 тнг,"проспект Абая, 89"
InterContinental Almaty,отель,Средний чек 30000 тнг,"Желтоксан, 181"
As`salam,халал-ресторан,Средний чек 2500 тнг,"Тургут Озала, 178"
Chaihana NAVAT,ресторан,Средний чек 3500 тнг,"ЖК Еsentai Apartments, проспект Аль-Фараби, 77/1"
СВЕТ,ресторан,Средний чек 7500 тнг,"Кабанбай батыра, 83"
Тарым,сеть кафе,Средний чек 2500 тнг,"Орманова, 42"
Шашлычная на Кирова,Кафе,Средний чек 2000 тнг,"Богенбай батыра, 72"
Аспандияр Экспресс,кафе,Средний чек 2000 тнг,"проспект Абая, 30а"
Finik,ресторан,Средний чек 3500 тнг,"Желтоксан, 148"
Chechil Pub,сеть пабов,Средний чек 4000 тнг,"Тулебаева, 38а"
Qaimaq,ресторан современной казахской кухни,Средний чек 6000 тнг,"проспект Абая, 46а"
ЗАГС,ресторан,Средний чек 8000 тнг,"Курмангазы, 61"
Big Apple coffee shop,сеть кофеен,Средний чек 3500 тнг,"проспект Абылай хана, 145"
Leo`s Cafe & Terrace,кафе,Средний чек 5000 тнг,"проспект Назарбаева, 220"
Гранат,кафе,Средний чек 3500 тнг,"Жамакаева, 109"
Шеф,ресторан,Средний чек 7000 тнг,"Богенбай батыра, 104"
Мята Lounge на Сейфуллина,лаундж-бар,Средний чек 5000 тнг,"проспект Сейфуллина, 472"
Turandot,сеть ресторанов,Средний чек 6000 тнг,"Жарокова, 282"
Любовь и голуби,ресторан советской кухни,Средний чек 4000 тнг,"ЖК Рапсодия, Кажымукана, 37"
Мармарис,сеть кафе,Средний чек 1200 тнг,"БЦ NURIKON, Ауэзова, 175/1"
Alibekov,кафе,Средний чек 10000 тнг,"ЖК Esentai City, проспект Аль-Фараби, 116/22"
Дареджани,сеть ресторанов,Средний чек 6000 тнг,"проспект Достык, 71"
SAMURAI SUSHI,сеть ресторанов,Средний чек 5000 тнг,"проспект Достык, 91/1"
Little Brazil,уникальный ресторан бразильской кухни,Средний чек 15500 тнг,"МФК VILLA, проспект Аль-Фараби, 140а/4"
Текемет,комплекс,Средний чек 3500 тнг,"Артёма, 46"
BASTAU,развлекательный центр,Средний чек 7500 тнг,"Шагабутдинова, 109а"
Luckee Yu,кафе,Средний чек 3700 тнг,"проспект Достык, 71"
Скандалистъ,кафе-бар,Средний чек 6000 тнг,"Богенбай батыра, 128"
Maui,ресторан доступной кухни,Средний чек 3000 тнг,"Зенкова, 24"
Ramen 77,кафе,Средний чек 3000 тнг,"Кабанбай батыра, 77"
COCO,кафе быстрого питания,Средний чек 2500 тнг,"Кунаева, 133"
Цех,ресторан,Средний чек 7000 тнг,"проспект Достык, 48/1"
Печь,городской ресторан,Средний чек 7000 тнг,"Шевченко, 41"
KETCHUP,бургерная,Средний чек 2500 тнг,"БЦ D-43, проспект Достык, 43"
Мансарда,кафе,Средний чек 2500 тнг,"Жукова, 145"
Line Brew,ресторанный комплекс,Средний чек 10000 тнг,"проспект Назарбаева, 187а"
Vilka,Семейное кафе,Средний чек 3000 тнг,"Муратбаева, 164"
Вахтангури,ресторан грузинской кухни,Средний чек 8000 тнг,"Гоголя, 157"
Basilic,территория вкусной еды,Средний чек 2000 тнг,"БЦ Kaisar Plaza, Желтоксан, 115"
Whoopie Cakes,американское кафе-кондитерская,Средний чек 3000 тнг,"проспект Абая, 35"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"Шевченко, 85а"
Holiday Inn Almaty,гостиничный комплекс,Средний чек 10000 тнг,"Тимирязева, 2д"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"Тимирязева, 42 к10а"
Мята Lounge на Фурманова,лаундж-бар,Средний чек 7000 тнг,"проспект Назарбаева, 176"
Noodles,ресторан,Средний чек 5000 тнг,"Гостиница Казахстан, проспект Достык, 52/2"
SHAFRAN,сеть столовых,Средний чек 2000 тнг,"ТД ЦУМ, проспект Абылай хана, 62"
Ziyafet Steak House,ресторан,Средний чек 8000 тнг,"Желтоксан, 172"
SHAFRAN,сеть столовых,Средний чек 1500 тнг,"БЦ SAYAHAT, Пушкина, 2/76"
Кишлак,ресторан,Средний чек 5000 тнг,"проспект Сейфуллина, 540а"
Nedelka,сеть кафе,Средний чек 3000 тнг,"Желтоксан, 103"
Узбечка,столовая,Средний чек 800 тнг,"Жамакаева, 144"
Friendly,лаундж-кафе,Средний чек 3000 тнг,"проспект Достык, 89г"
Vanilla,сеть кофеен,Средний чек 3000 тнг,"Кунаева, 130"
TSARSKAYA,баня,Средний чек 2500 тнг,"Розыбакиева, 187"
SAMURAI SUSHI,сеть ресторанов,Средний чек 5000 тнг,"Жандосова, 57"
Marrone Rosso,сеть кофеен,Средний чек 5000 тнг,"проспект Назарбаева, 149"
Harissa,ресторан,Средний чек 3500 тнг,"Кабанбай батыра, 68"
Wendy’s,ресторан быстрого питания,Средний чек 2000 тнг,"ТД ЦУМ, проспект Абылай хана, 62"
Жан Плов Лагман,центр вкусной еды,Средний чек 3500 тнг,"ЖК Куат на Достык-Сатпаева, проспект Достык, 118"
Браунис,кофейня-кондитерская,Средний чек 3000 тнг,"Рыскулбекова, 19"
Mamma mia & Ciao Pizza,сеть пиццерий,Средний чек 5000 тнг,"проспект Аль-Фараби, 7 блок 5а"
Local Coffee and Pizza,кофейня,Средний чек 5000 тнг,"ТЦ Colibri, Валиханова, 170"
Alani,ресторан,,"Луганского, 19"
АТА ДОНЕР,кафе быстрого питания,Средний чек 1000 тнг,"проспект Абылай хана, 24"
ЧайLa kitchen,ресторан,Средний чек 3000 тнг,"проспект Абая, 17"
KurdЮk,ресторан,Средний чек 3000 тнг,"Гоголя, 166"
Renion Hills,гостиничный комплекс,Средний чек 4000 тнг,"проспект Назарбаева, 281"
Антрекот,ресторан,Средний чек 5000 тнг,"Богенбай батыра, 132"
Chad,кафе,Средний чек 5000 тнг,"Гоголя, 13"
Ифтар,лагманхана,,"Яссауи, 76"
Friends bar & terrace,бар,Средний чек 10000 тнг,"ТРК Forum, проспект Сейфуллина, 617"
Azia Mama,ресторан,Средний чек 5000 тнг,"проспект Достык, 32"
OLIVIER Restaurant & Bar,ресторан,Средний чек 15000 тнг,"Курмангазы, 43"
RUMI,центр вкусного плова,Средний чек 1800 тнг,"проспект Абылай хана, 92а"
Grand AiSer Hotel,гостиничный комплекс,Средний чек 3000 тнг,"Пожарского, 1"
KIM CHI,семейное кафе,Средний чек 3000 тнг,"микрорайон Орбита 2, 6"
PION,кафе,Средний чек 3500 тнг,"Толе би, 74"
BAO Sushi & Noodles Bar,сеть ресторанов,Средний чек 3000 тнг,"проспект Назарбаева, 77"
Венеция,кафе,Средний чек 6500 тнг,"Каирбекова, 72"
Ходжа Насреддин,ресторан,Средний чек 5000 тнг,"микрорайон Алмагуль, 4а"
Краснодарский парень,ресторан быстрого питания,Средний чек 2500 тнг,"проспект Абая, 12"
Arsha,ресторанный комплекс,Средний чек 3000 тнг,"Брусиловского, 164"
Fort Vernyi,кафе,Средний чек 5500 тнг,"Толе би, 179а/22"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"Гоголя, 44-51"
CoffeeBOOM,сеть кофеен,Средний чек 4000 тнг,"проспект Сейфуллина, 617/1"
Грузинский двор,кафе,Средний чек 3000 тнг,"Жандосова, 27Б"
Hardee`s,сеть ресторанов быстрого питания,Средний чек 2000 тнг,"Гоголя, 44-51"
Mercure Almaty city center,гостиничный комплекс,Средний чек 8500 тнг,"МФК ABYLAI KHAN 53, проспект Абылай хана, 53"
Lugo bar,лаундж-бар,Средний чек 3000 тнг,"Тимирязева, 1а"
Alazany,ресторан,Средний чек 7000 тнг,"Кабанбай батыра, 320"
ДРУЖБА,городское кафе,Средний чек 3000 тнг,"Богенбай батыра, 132"
Villa dei Fiori,ресторан,Средний чек 25000 тнг,"МФК VILLA, проспект Аль-Фараби, 140а"
ZTB,гастробар,,"Жамбыла, 77"
Хачапури Хинкальевич,кафе грузинской кухни,Средний чек 4000 тнг,"проспект Абая, 60"
Центр плова и шашлыка,кафе,Средний чек 2000 тнг,"Маркова, 28"
SAMURAI SUSHI,сеть ресторанов,Средний чек 5000 тнг,"микрорайон Алмагуль, 18а"
Pate & Pizza,кафе,Средний чек 2500 тнг,"ЖК Талисман, Ходжанова, 78 блок 7"
CoffeeBOOM,сеть кофеен,Средний чек 4000 тнг,"МФК VILLA, проспект Аль-Фараби, 140а/3"
KOREAN HOUSE,ресторан корейской кухни,Средний чек 8000 тнг,"ЖК Столичный Центр, Кабанбай батыра, 87"
Tomato,сеть пицца-баров,Средний чек 4000 тнг,"Жандосова, 1"
СУХОЙ ЗАКОН,бар,Средний чек 5000 тнг,"Ауэзова, 104а"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"Тимирязева, 38/3"
Korean street food,сеть кафе быстрого питания,Средний чек 1500 тнг,"проспект Абылай хана, 59"
Кабачок Горыныч,кафе,Средний чек 7000 тнг,"проспект Гагарина, 298а"
Мята Lounge на Достык,лаундж-бар,Средний чек 5000 тнг,"проспект Достык, 42"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"Толе би, 151"
Mongol Bar,кафе-бар,Средний чек 6000 тнг,"Курмангазы, 43"
Жан Плов Лагман,центр вкусной еды,Средний чек 3500 тнг,"Жарокова, 187/1"
SMUG BURGER & BBQ BAR,кафе,Средний чек 4000 тнг,"Гоголя, 15"
Grand Zina,ресторан,Средний чек 8000 тнг,"Гостиница Алма-Ата, Кабанбай батыра, 85"
SHAFRAN,сеть столовых,Средний чек 3000 тнг,"Жайдарман, 32"
Basilic,территория вкусной еды,Средний чек 2000 тнг,"проспект Суюнбая, 15"
Crudo,стейк-хаус,Средний чек 15000 тнг,"проспект Абая, 17"
Medovic,кафе,Доставка,"проспект Абая, 35/37"
Sumo-San,суши-бар,Средний чек 5000 тнг,"Байтурсынова, 159"
Urban Coffee,кофейня,Средний чек 5000 тнг,"Сатпаева, 4а"
Shipudim,сеть шашлычных,Средний чек 2000 тнг,"Ауэзова, 56г"
Renion Residence,отель,,"Каирбекова, 42"
Муз Культура,бар,Средний чек 2500 тнг,"проспект Назарбаева, 113"
Craft Kitchen & Bar,ресторан,Средний чек 7000 тнг,"проспект Достык, 40/1"
Ориент,кафе,Средний чек 4000 тнг,"Маметовой, 67а"
Boohouse,кафе-бар,,"Толе би, 142"
Halal Slice,пиццерия,Средний чек 390 тнг,"8-й микрорайон, 1а"
Meesan,ресторан,Средний чек 2500 тнг,"микрорайон Шабыт, 8/1"
Stories,лаундж-кафе,,"проспект Жибек Жолы, 66"
Толе Би,ресторан,Средний чек 4000 тнг,"Толе би, 128"
Gagarin287,семейный ресторан,Средний чек 5000 тнг,"GAGARIN PARK, проспект Гагарина, 287/2"
Павлин Мавлин,кафе,Средний чек 4000 тнг,"Ходжанова, 239/2"
TEADOT,чайный дом,,"проспект Абылай хана, 66"
Esperanza Terrace,летнее кафе,Средний чек 4000 тнг,"проспект Сейфуллина, 481"
Хачапури Хинкальевич,кафе грузинской кухни,Средний чек 4000 тнг,"Кабанбай батыра, 68/51"
CoffeeBOOM,сеть кофеен,Средний чек 4000 тнг,"Богенбай батыра, 121"
Бродвей Бургер,кафе быстрого питания,Средний чек 3000 тнг,"Кабанбай батыра, 83"
Sunset Art&Kitchen,ресторан,Средний чек 10000 тнг,"проспект Аль-Фараби, 5 к2а"
Endorphin,лаундж-бар,,"Богенбай батыра, 43"
Korean street food,сеть кафе быстрого питания,Средний чек 1500 тнг,"проспект Абая, 89"
Shipudim,сеть шашлычных,Средний чек 2000 тнг,"Толе би, 226"
Shipudim,сеть шашлычных,Средний чек 2000 тнг,"Желтоксан, 81"
BON BON,кофейня,Средний чек 7000 тнг,"проспект Абылай хана, 123"
Shukran,ресторан,,"БЦ Forum, проспект Достык, 202"
Vilka,Кафе,Средний чек 3000 тнг,"Желтоксан, 78"
Саним,кафе,Средний чек 3000 тнг,"Хан шатыр, 253"
ТЮБЕТЕЙКА,чайхана,Средний чек 5000 тнг,"проспект Абылай хана, 125"
Double Coffee,сеть ресторанов-кофеен,Средний чек 4000 тнг,"Гоголя, 58"
Cicek Мангал,ресторан,Средний чек 3500 тнг,"проспект Жибек Жолы, 66"
Lee House,кафе,Средний чек 2500 тнг,"Розыбакиева, 175а"
The FRIENDS Restaurant,ресторан,Средний чек 7000 тнг,"Манаса, 50"
COFFEEROOM & TRATTORIA,кофейня,Средний чек 5000 тнг,"проспект Назарбаева, 220"
Пинта,сеть пивных ресторанов,Средний чек 5000 тнг,"Гоголя, 169"
CoffeeBOOM,сеть кофеен,Средний чек 4000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
АндерСон,сеть семейных кафе,Средний чек 7000 тнг,"БЦ Almaty Residence, Ауэзова, 60"
Foodzilla Doner & Pizza,кафе быстрого питания,Средний чек 940 тнг,"Байтурсынова, 17"
Vanilla,сеть кофеен,Средний чек 3000 тнг,"Курмангазы, 54"
SYDYK,ресторан,Средний чек 3000 тнг,"ЖК Ак Алем, Желтоксан, 155"
Korean street food,сеть кафе быстрого питания,Средний чек 1500 тнг,"Тимирязева, 67"
Kakao Dak,кафе корейской кухни,Средний чек 2500 тнг,"Эйлера, 27/1"
Beefeater,гастрономический ресторан,Средний чек 5000 тнг,"БЦ D-43, проспект Достык, 43"
Cicek Мангал,ресторан,Средний чек 3500 тнг,"МФК RAMSTORE ALL IN, проспект Назарбаева, 226"
Лаффа,кафе,Средний чек 2000 тнг,"Акан Серы, 28/1"
Маида,кафе,Средний чек 3000 тнг,"Фурката, 67а"
Paradise,сеть кафе,Средний чек 2000 тнг,"Радлова, 5г"
Мята Platinum Желтоксан,ресто-бар,Средний чек 4000 тнг,"Желтоксан, 148"
Хачапури Хинкальевич,кафе грузинской кухни,Средний чек 4000 тнг,"проспект Достык, 29"
Night Star,кафе,Средний чек 4000 тнг,"Шагабутдинова, 129"
OZYURT,ресторан быстрого питания,Средний чек 3500 тнг,"ТРК Atakent Mall, Тимирязева, 42 к3"
Parmigiano Ristorante Italiano,ресторан,Средний чек 25000 тнг,"Оспанова, 24"
Шах,сеть ресторанов и кулинарий,Средний чек 5000 тнг,"проспект Гагарина, 292"
Eleven Hotel & Hall,ресторанно-гостиничный комплекс,Средний чек 15000 тнг,"Арайлы, 16/1"
Kuropatka,кафе быстрого питания,Средний чек 2500 тнг,"Гоголя, 78"
Paksushi,кафе быстрого питания,Средний чек 2000 тнг,"Тургут Озала, 112"
Cafe Leffe,ресторан,Средний чек 7000 тнг,"Толе би, 63"
Hanok,ресторан,Средний чек 3500 тнг,"Масанчи, 100"
Geronimo,пиццерия,Средний чек 3500 тнг,"Жамакаева, 175"
Public,кафе-столовая,Средний чек 1500 тнг,"Тимирязева, 30а"
STEKLO Grill & Bar,гриль-бар,Средний чек 3000 тнг,"Жангельдина, 166"
Double Coffee,сеть ресторанов-кофеен,Средний чек 4000 тнг,"Наурызбай батыра, 94"
Ramen House,кафе,Средний чек 2500 тнг,"Желтоксан, 118"
KFC,предприятие быстрого обслуживания,Средний чек 1230 тнг,"Дворец спорта, проспект Абая, 44"
LamBo,ресторан китайской кухни,Средний чек 5000 тнг,"Богенбай батыра, 148"
Пацацина,кафе,Средний чек 1200 тнг,"проспект Достык, 42"
Кино,городское кафе,Средний чек 5000 тнг,"Панфилова, 108"
Оргилай,чайхана,Средний чек 4000 тнг,"Шакарима, 12"
BEREKET,турецкое халал-кафе,Средний чек 3000 тнг,"ТЦ Life Town, микрорайон Самал-2, 98"
ПУШКИН,городское кафе,Средний чек 5000 тнг,"проспект Абая, 17"
Тарым,сеть кафе,Средний чек 2500 тнг,"микрорайон Мамыр 4, 5а"
Coffeedelia,сеть кофеен,Средний чек 2500 тнг,"Кабанбай батыра, 79"
McDonald`s,сеть ресторанов быстрого обслуживания,,"Маршака, 151"
Nedelka,сеть кафе,Средний чек 3000 тнг,"Шевченко, 18"
Пинта,сеть пивных ресторанов,Средний чек 5000 тнг,"Гостиница Казахстан, проспект Достык, 52/2"
БОЧОНОК,сеть пивных ресторанов,Средний чек 6000 тнг,"проспект Достык, 109Б"
